ID,Organisation,Location,Detail,Rocket_Status,Price(USDbillion),Mission_Status,New_Date,Year,Months,Country,Latitude,Longitude
0,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,StatusActive,$50.00 ,Success,8/7/2020,2020,August,USA,37.09024,-95.712891
1,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Long March 2D | Gaofen-9 04 & Q-SAT,StatusActive,$29.75 ,Success,8/6/2020,2020,August,China,35.86166,104.195397
2,SpaceX,"Pad A, Boca Chica, Texas, USA",Starship Prototype | 150 Meter Hop,StatusActive,,Success,8/4/2020,2020,August,USA,37.09024,-95.712891
3,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Proton-M/Briz-M | Ekspress-80 & Ekspress-103,StatusActive,$65.00 ,Success,7/30/2020,2020,July,Kazakhstan,48.019573,66.923684
4,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 541 | Perseverance,StatusActive,$145.00 ,Success,7/30/2020,2020,July,USA,37.09024,-95.712891
5,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",StatusActive,$64.68 ,Success,7/25/2020,2020,July,China,35.86166,104.195397
6,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a | Progress MS-15,StatusActive,$48.50 ,Success,7/23/2020,2020,July,Kazakhstan,48.019573,66.923684
7,CASC,"LC-101, Wenchang Satellite Launch Center, China",Long March 5 | Tianwen-1,StatusActive,,Success,7/23/2020,2020,July,China,35.86166,104.195397
8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | ANASIS-II,StatusActive,$50.00 ,Success,7/20/2020,2020,July,USA,37.09024,-95.712891
9,JAXA,"LA-Y1, Tanegashima Space Center, Japan",H-IIA 202 | Hope Mars Mission,StatusActive,$90.00 ,Success,7/19/2020,2020,July,Japan,36.204824,138.252924
10,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",Minotaur IV | NROL-129,StatusActive,$46.00 ,Success,7/15/2020,2020,July,USA,37.09024,-95.712891
11,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",StatusActive,$28.30 ,Failure,7/10/2020,2020,July,China,35.86166,104.195397
12,CASC,"LC-3, Xichang Satellite Launch Center, China",Long March 3B/E | Apstar-6D,StatusActive,$29.15 ,Success,7/9/2020,2020,July,China,35.86166,104.195397
13,IAI,"Pad 1, Palmachim Airbase, Israel",Shavit-2 | Ofek-16,StatusActive,,Success,7/6/2020,2020,July,Israel,31.046051,34.851612
14,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Long March 2D | Shiyan-6 02,StatusActive,$29.75 ,Success,7/4/2020,2020,July,China,35.86166,104.195397
15,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Electron/Curie | Pics Or It Didn??¦t Happen,StatusActive,$7.50 ,Failure,7/4/2020,2020,July,New Zealand,-40.900557,174.885971
16,CASC,"LC-9, Taiyuan Satellite Launch Center, China",Long March 4B | Gaofen Duomo & BY-02,StatusActive,$64.68 ,Success,7/3/2020,2020,July,China,35.86166,104.195397
17,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | GPS III SV03,StatusActive,$50.00 ,Success,6/30/2020,2020,June,USA,37.09024,-95.712891
18,CASC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/E | Beidou-3 G3,StatusActive,$29.15 ,Success,6/23/2020,2020,June,China,35.86166,104.195397
