ID,Organisation,Country,Latitude,Longitude,Year,Status Mission
0,SpaceX,USA,37.09024,-95.712891,2020,Success
1,CASC,China,35.86166,104.195397,2020,Success
2,SpaceX,USA,37.09024,-95.712891,2020,Success
3,Roscosmos,Kazakhstan,48.019573,66.923684,2020,Success
4,ULA,USA,37.09024,-95.712891,2020,Success
5,CASC,China,35.86166,104.195397,2020,Success
6,Roscosmos,Kazakhstan,48.019573,66.923684,2020,Success
7,CASC,China,35.86166,104.195397,2020,Success
8,SpaceX,USA,37.09024,-95.712891,2020,Success
9,JAXA,Japan,36.204824,138.252924,2020,Success
10,Northrop,USA,37.09024,-95.712891,2020,Success
11,ExPace,China,35.86166,104.195397,2020,Failure
12,CASC,China,35.86166,104.195397,2020,Success
13,IAI,Israel,31.046051,34.851612,2020,Success
14,CASC,China,35.86166,104.195397,2020,Success
15,Rocket Lab,New Zealand,-40.900557,174.885971,2020,Failure
16,CASC,China,35.86166,104.195397,2020,Success
17,SpaceX,USA,37.09024,-95.712891,2020,Success
18,CASC,China,35.86166,104.195397,2020,Success
19,CASC,China,35.86166,104.195397,2020,Success
20,SpaceX,USA,37.09024,-95.712891,2020,Success
21,Rocket Lab,New Zealand,-40.900557,174.885971,2020,Success
22,CASC,China,35.86166,104.195397,2020,Success
23,SpaceX,USA,37.09024,-95.712891,2020,Success
24,CASC,China,35.86166,104.195397,2020,Success
25,SpaceX,USA,37.09024,-95.712891,2020,Success
26,CASC,China,35.86166,104.195397,2020,Success
27,Virgin Orbit,USA,37.09024,-95.712891,2020,Failure
28,VKS RF,Russia,61.52401,105.318756,2020,Success
29,MHI,Japan,36.204824,138.252924,2020,Success
30,ULA,USA,37.09024,-95.712891,2020,Success
31,ExPace,China,35.86166,104.195397,2020,Success
32,CASC,China,35.86166,104.195397,2020,Success
33,Roscosmos,Kazakhstan,48.019573,66.923684,2020,Success
34,SpaceX,USA,37.09024,-95.712891,2020,Success
35,IRGC,Shahrud Missile Test Site,,,2020,Success
36,CASC,China,35.86166,104.195397,2020,Failure
37,Roscosmos,Kazakhstan,48.019573,66.923684,2020,Success
38,ULA,USA,37.09024,-95.712891,2020,Success
39,CASC,China,35.86166,104.195397,2020,Success
40,Arianespace,Kazakhstan,48.019573,66.923684,2020,Success
41,SpaceX,USA,37.09024,-95.712891,2020,Success
42,VKS RF,Russia,61.52401,105.318756,2020,Success
43,CASC,China,35.86166,104.195397,2020,Failure
44,CASC,China,35.86166,104.195397,2020,Success
45,SpaceX,USA,37.09024,-95.712891,2020,Success
46,VKS RF,Russia,61.52401,105.318756,2020,Success
47,CASC,China,35.86166,104.195397,2020,Success
48,Arianespace,France,46.227638,2.213749,2020,Success
49,SpaceX,USA,37.09024,-95.712891,2020,Success
50,Northrop,USA,37.09024,-95.712891,2020,Success
51,ULA,USA,37.09024,-95.712891,2020,Success
52,ISA,Iran,32.427908,53.688046,2020,Failure
53,MHI,Japan,36.204824,138.252924,2020,Success
54,Arianespace,Kazakhstan,48.019573,66.923684,2020,Success
55,Rocket Lab,New Zealand,-40.900557,174.885971,2020,Success
56,SpaceX,USA,37.09024,-95.712891,2020,Success
57,SpaceX,USA,37.09024,-95.712891,2020,Success
58,Arianespace,France,46.227638,2.213749,2020,Success
59,ExPace,China,35.86166,104.195397,2020,Success
60,CASC,China,35.86166,104.195397,2020,Success
61,CASC,China,35.86166,104.195397,2020,Success
62,SpaceX,USA,37.09024,-95.712891,2020,Success
63,CASC,China,35.86166,104.195397,2019,Success
64,VKS RF,Russia,61.52401,105.318756,2019,Success
65,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
66,ULA,USA,37.09024,-95.712891,2019,Success
67,CASC,China,35.86166,104.195397,2019,Success
68,Arianespace,France,46.227638,2.213749,2019,Success
69,SpaceX,USA,37.09024,-95.712891,2019,Success
70,CASC,China,35.86166,104.195397,2019,Success
71,Blue Origin,USA,37.09024,-95.712891,2019,Success
72,ISRO,India,20.593684,78.96288,2019,Success
73,VKS RF,Russia,61.52401,105.318756,2019,Success
74,ExPace,China,35.86166,104.195397,2019,Success
75,ExPace,China,35.86166,104.195397,2019,Success
76,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
77,Rocket Lab,New Zealand,-40.900557,174.885971,2019,Success
78,SpaceX,USA,37.09024,-95.712891,2019,Success
79,CASC,China,35.86166,104.195397,2019,Success
80,ISRO,India,20.593684,78.96288,2019,Success
81,Arianespace,France,46.227638,2.213749,2019,Success
82,VKS RF,Russia,61.52401,105.318756,2019,Success
83,CASC,China,35.86166,104.195397,2019,Success
84,ExPace,China,35.86166,104.195397,2019,Success
85,CASC,China,35.86166,104.195397,2019,Success
86,ExPace,China,35.86166,104.195397,2019,Success
87,SpaceX,USA,37.09024,-95.712891,2019,Success
88,CASC,China,35.86166,104.195397,2019,Success
89,CASC,China,35.86166,104.195397,2019,Success
90,Northrop,USA,37.09024,-95.712891,2019,Success
91,Exos,New Mexico,,,2019,Failure
92,CASC,China,35.86166,104.195397,2019,Success
93,Rocket Lab,New Zealand,-40.900557,174.885971,2019,Success
94,Northrop,USA,37.09024,-95.712891,2019,Success
95,ILS,Kazakhstan,48.019573,66.923684,2019,Success
96,CASC,China,35.86166,104.195397,2019,Success
97,VKS RF,Russia,61.52401,105.318756,2019,Success
98,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
99,CASC,China,35.86166,104.195397,2019,Success
100,MHI,Japan,36.204824,138.252924,2019,Success
101,CASC,China,35.86166,104.195397,2019,Success
102,CASC,China,35.86166,104.195397,2019,Success
103,CASC,China,35.86166,104.195397,2019,Success
104,ExPace,China,35.86166,104.195397,2019,Success
105,VKS RF,Russia,61.52401,105.318756,2019,Success
106,ISA,Iran,32.427908,53.688046,2019,Prelaunch Failure
107,ULA,USA,37.09024,-95.712891,2019,Success
108,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
109,Rocket Lab,New Zealand,-40.900557,174.885971,2019,Success
110,CASC,China,35.86166,104.195397,2019,Success
111,CASC,China,35.86166,104.195397,2019,Success
112,ULA,USA,37.09024,-95.712891,2019,Success
113,SpaceX,USA,37.09024,-95.712891,2019,Success
114,Arianespace,France,46.227638,2.213749,2019,Success
115,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
116,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
117,VKS RF,Russia,61.52401,105.318756,2019,Success
118,CASC,China,35.86166,104.195397,2019,Success
119,SpaceX,USA,37.09024,-95.712891,2019,Success
120,i-Space,China,35.86166,104.195397,2019,Success
121,ISRO,India,20.593684,78.96288,2019,Success
122,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
123,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
124,Arianespace,France,46.227638,2.213749,2019,Failure
125,VKS RF,Russia,61.52401,105.318756,2019,Success
126,Roscosmos,Russia,61.52401,105.318756,2019,Success
127,Exos,New Mexico,,,2019,Partial Failure
128,Rocket Lab,New Zealand,-40.900557,174.885971,2019,Success
129,SpaceX,USA,37.09024,-95.712891,2019,Success
130,CASC,China,35.86166,104.195397,2019,Success
131,Arianespace,France,46.227638,2.213749,2019,Success
132,SpaceX,USA,37.09024,-95.712891,2019,Success
133,CASC,Yellow Sea,,,2019,Success
134,Roscosmos,Kazakhstan,48.019573,66.923684,2019,Success
135,Roscosmos,Russia,61.52401,105.318756,2019,Success
136,SpaceX,USA,37.09024,-95.712891,2019,Success
137,CASC,China,35.86166,104.195397,2019,Failure
138,ISRO,India,20.593684,78.96288,2019,Success
139,CASC,China,35.86166,104.195397,2019,Success
140,Rocket Lab,New Zealand,-40.900557,174.885971,2019,Success
141,SpaceX,USA,37.09024,-95.712891,2019,Success
