ID,Organisation,Country,Latitude,Longitude,Year
0,SpaceX,USA,37.09024,-95.712891,2020
1,CASC,China,35.86166,104.195397,2020
2,SpaceX,USA,37.09024,-95.712891,2020
3,Roscosmos,Kazakhstan,48.019573,66.923684,2020
4,ULA,USA,37.09024,-95.712891,2020
5,CASC,China,35.86166,104.195397,2020
6,Roscosmos,Kazakhstan,48.019573,66.923684,2020
7,CASC,China,35.86166,104.195397,2020
8,SpaceX,USA,37.09024,-95.712891,2020
9,JAXA,Japan,36.204824,138.252924,2020
10,Northrop,USA,37.09024,-95.712891,2020
11,ExPace,China,35.86166,104.195397,2020
12,CASC,China,35.86166,104.195397,2020
13,IAI,Israel,31.046051,34.851612,2020
14,CASC,China,35.86166,104.195397,2020
15,Rocket Lab,New Zealand,-40.900557,174.885971,2020
16,CASC,China,35.86166,104.195397,2020
17,SpaceX,USA,37.09024,-95.712891,2020
18,CASC,China,35.86166,104.195397,2020
19,CASC,China,35.86166,104.195397,2020
20,SpaceX,USA,37.09024,-95.712891,2020
21,Rocket Lab,New Zealand,-40.900557,174.885971,2020
22,CASC,China,35.86166,104.195397,2020
23,SpaceX,USA,37.09024,-95.712891,2020
24,CASC,China,35.86166,104.195397,2020
25,SpaceX,USA,37.09024,-95.712891,2020
26,CASC,China,35.86166,104.195397,2020
27,Virgin Orbit,USA,37.09024,-95.712891,2020
28,VKS RF,Russia,61.52401,105.318756,2020
29,MHI,Japan,36.204824,138.252924,2020
30,ULA,USA,37.09024,-95.712891,2020
31,ExPace,China,35.86166,104.195397,2020
32,CASC,China,35.86166,104.195397,2020
33,Roscosmos,Kazakhstan,48.019573,66.923684,2020
34,SpaceX,USA,37.09024,-95.712891,2020
35,IRGC,Shahrud Missile Test Site,,,2020
36,CASC,China,35.86166,104.195397,2020
37,Roscosmos,Kazakhstan,48.019573,66.923684,2020
38,ULA,USA,37.09024,-95.712891,2020
39,CASC,China,35.86166,104.195397,2020
40,Arianespace,Kazakhstan,48.019573,66.923684,2020
41,SpaceX,USA,37.09024,-95.712891,2020
42,VKS RF,Russia,61.52401,105.318756,2020
43,CASC,China,35.86166,104.195397,2020
44,CASC,China,35.86166,104.195397,2020
45,SpaceX,USA,37.09024,-95.712891,2020
46,VKS RF,Russia,61.52401,105.318756,2020
47,CASC,China,35.86166,104.195397,2020
48,Arianespace,France,46.227638,2.213749,2020
49,SpaceX,USA,37.09024,-95.712891,2020
50,Northrop,USA,37.09024,-95.712891,2020
51,ULA,USA,37.09024,-95.712891,2020
52,ISA,Iran,32.427908,53.688046,2020
53,MHI,Japan,36.204824,138.252924,2020
54,Arianespace,Kazakhstan,48.019573,66.923684,2020
55,Rocket Lab,New Zealand,-40.900557,174.885971,2020
56,SpaceX,USA,37.09024,-95.712891,2020
57,SpaceX,USA,37.09024,-95.712891,2020
58,Arianespace,France,46.227638,2.213749,2020
59,ExPace,China,35.86166,104.195397,2020
60,CASC,China,35.86166,104.195397,2020
61,CASC,China,35.86166,104.195397,2020
62,SpaceX,USA,37.09024,-95.712891,2020
63,CASC,China,35.86166,104.195397,2019
64,VKS RF,Russia,61.52401,105.318756,2019
65,Roscosmos,Kazakhstan,48.019573,66.923684,2019
66,ULA,USA,37.09024,-95.712891,2019
67,CASC,China,35.86166,104.195397,2019
68,Arianespace,France,46.227638,2.213749,2019
69,SpaceX,USA,37.09024,-95.712891,2019
70,CASC,China,35.86166,104.195397,2019
71,Blue Origin,USA,37.09024,-95.712891,2019
72,ISRO,India,20.593684,78.96288,2019
73,VKS RF,Russia,61.52401,105.318756,2019
74,ExPace,China,35.86166,104.195397,2019
75,ExPace,China,35.86166,104.195397,2019
76,Roscosmos,Kazakhstan,48.019573,66.923684,2019
77,Rocket Lab,New Zealand,-40.900557,174.885971,2019
78,SpaceX,USA,37.09024,-95.712891,2019
79,CASC,China,35.86166,104.195397,2019
80,ISRO,India,20.593684,78.96288,2019
81,Arianespace,France,46.227638,2.213749,2019
82,VKS RF,Russia,61.52401,105.318756,2019
83,CASC,China,35.86166,104.195397,2019
84,ExPace,China,35.86166,104.195397,2019
85,CASC,China,35.86166,104.195397,2019
86,ExPace,China,35.86166,104.195397,2019
87,SpaceX,USA,37.09024,-95.712891,2019
88,CASC,China,35.86166,104.195397,2019
89,CASC,China,35.86166,104.195397,2019
90,Northrop,USA,37.09024,-95.712891,2019
91,Exos,New Mexico,,,2019
92,CASC,China,35.86166,104.195397,2019
93,Rocket Lab,New Zealand,-40.900557,174.885971,2019
94,Northrop,USA,37.09024,-95.712891,2019
95,ILS,Kazakhstan,48.019573,66.923684,2019
96,CASC,China,35.86166,104.195397,2019
97,VKS RF,Russia,61.52401,105.318756,2019
98,Roscosmos,Kazakhstan,48.019573,66.923684,2019
99,CASC,China,35.86166,104.195397,2019
100,MHI,Japan,36.204824,138.252924,2019
101,CASC,China,35.86166,104.195397,2019
102,CASC,China,35.86166,104.195397,2019
103,CASC,China,35.86166,104.195397,2019
104,ExPace,China,35.86166,104.195397,2019
105,VKS RF,Russia,61.52401,105.318756,2019
106,ISA,Iran,32.427908,53.688046,2019
107,ULA,USA,37.09024,-95.712891,2019
108,Roscosmos,Kazakhstan,48.019573,66.923684,2019
109,Rocket Lab,New Zealand,-40.900557,174.885971,2019
110,CASC,China,35.86166,104.195397,2019
111,CASC,China,35.86166,104.195397,2019
112,ULA,USA,37.09024,-95.712891,2019
