ID,Organisation,Country,Latitude,Longitude
0,SpaceX,USA,37.09024,-95.712891
1,CASC,China,35.86166,104.195397
2,SpaceX,USA,37.09024,-95.712891
3,Roscosmos,Kazakhstan,48.019573,66.923684
4,ULA,USA,37.09024,-95.712891
5,CASC,China,35.86166,104.195397
6,Roscosmos,Kazakhstan,48.019573,66.923684
7,CASC,China,35.86166,104.195397
8,SpaceX,USA,37.09024,-95.712891
9,JAXA,Japan,36.204824,138.252924
10,Northrop,USA,37.09024,-95.712891
11,ExPace,China,35.86166,104.195397
12,CASC,China,35.86166,104.195397
13,IAI,Israel,31.046051,34.851612
14,CASC,China,35.86166,104.195397
15,Rocket Lab,New Zealand,-40.900557,174.885971
16,CASC,China,35.86166,104.195397
17,SpaceX,USA,37.09024,-95.712891
18,CASC,China,35.86166,104.195397
19,CASC,China,35.86166,104.195397
20,SpaceX,USA,37.09024,-95.712891
21,Rocket Lab,New Zealand,-40.900557,174.885971
22,CASC,China,35.86166,104.195397
23,SpaceX,USA,37.09024,-95.712891
24,CASC,China,35.86166,104.195397
25,SpaceX,USA,37.09024,-95.712891
26,CASC,China,35.86166,104.195397
27,Virgin Orbit,USA,37.09024,-95.712891
28,VKS RF,Russia,61.52401,105.318756
29,MHI,Japan,36.204824,138.252924
30,ULA,USA,37.09024,-95.712891
31,ExPace,China,35.86166,104.195397
32,CASC,China,35.86166,104.195397
33,Roscosmos,Kazakhstan,48.019573,66.923684
34,SpaceX,USA,37.09024,-95.712891
35,IRGC,Shahrud Missile Test Site,,
36,CASC,China,35.86166,104.195397
37,Roscosmos,Kazakhstan,48.019573,66.923684
38,ULA,USA,37.09024,-95.712891
39,CASC,China,35.86166,104.195397
40,Arianespace,Kazakhstan,48.019573,66.923684
41,SpaceX,USA,37.09024,-95.712891
42,VKS RF,Russia,61.52401,105.318756
43,CASC,China,35.86166,104.195397
44,CASC,China,35.86166,104.195397
45,SpaceX,USA,37.09024,-95.712891
46,VKS RF,Russia,61.52401,105.318756
47,CASC,China,35.86166,104.195397
48,Arianespace,France,46.227638,2.213749
49,SpaceX,USA,37.09024,-95.712891
50,Northrop,USA,37.09024,-95.712891
51,ULA,USA,37.09024,-95.712891
52,ISA,Iran,32.427908,53.688046
53,MHI,Japan,36.204824,138.252924
54,Arianespace,Kazakhstan,48.019573,66.923684
55,Rocket Lab,New Zealand,-40.900557,174.885971
56,SpaceX,USA,37.09024,-95.712891
57,SpaceX,USA,37.09024,-95.712891
58,Arianespace,France,46.227638,2.213749
59,ExPace,China,35.86166,104.195397
60,CASC,China,35.86166,104.195397
61,CASC,China,35.86166,104.195397
62,SpaceX,USA,37.09024,-95.712891
63,CASC,China,35.86166,104.195397
64,VKS RF,Russia,61.52401,105.318756
65,Roscosmos,Kazakhstan,48.019573,66.923684
66,ULA,USA,37.09024,-95.712891
67,CASC,China,35.86166,104.195397
68,Arianespace,France,46.227638,2.213749
69,SpaceX,USA,37.09024,-95.712891
70,CASC,China,35.86166,104.195397
71,Blue Origin,USA,37.09024,-95.712891
72,ISRO,India,20.593684,78.96288
73,VKS RF,Russia,61.52401,105.318756
74,ExPace,China,35.86166,104.195397
75,ExPace,China,35.86166,104.195397
76,Roscosmos,Kazakhstan,48.019573,66.923684
77,Rocket Lab,New Zealand,-40.900557,174.885971
78,SpaceX,USA,37.09024,-95.712891
79,CASC,China,35.86166,104.195397
80,ISRO,India,20.593684,78.96288
81,Arianespace,France,46.227638,2.213749
82,VKS RF,Russia,61.52401,105.318756
83,CASC,China,35.86166,104.195397
84,ExPace,China,35.86166,104.195397
85,CASC,China,35.86166,104.195397
86,ExPace,China,35.86166,104.195397
87,SpaceX,USA,37.09024,-95.712891
88,CASC,China,35.86166,104.195397
89,CASC,China,35.86166,104.195397
90,Northrop,USA,37.09024,-95.712891
91,Exos,New Mexico,,
92,CASC,China,35.86166,104.195397
93,Rocket Lab,New Zealand,-40.900557,174.885971
94,Northrop,USA,37.09024,-95.712891
95,ILS,Kazakhstan,48.019573,66.923684
96,CASC,China,35.86166,104.195397
